"asn","tg_op"
8285,"NULL"
8206,"NULL"
5538,"NULL"
5518,"NULL"
2588,"NULL"
57516,"NULL"
34620,"NULL"
24634,"NULL"
30721,"NULL"
31126,"NULL"
34708,"NULL"
35197,"NULL"
39010,"NULL"
41589,"NULL"
41833,"NULL"
42003,"LB01"
43373,"NULL"
47935,"NULL"
16130,"NULL"
12653,"NULL"
9051,"NULL"
8261,"NULL"
29578,"NULL"
24852,"NULL"
24877,"NULL"
25190,"NULL"
25406,"NULL"
28679,"NULL"
29625,"NULL"
33922,"NULL"
34857,"NULL"
39007,"LT05"
39354,"NULL"
43627,"NULL"
43649,"NULL"
43700,"NULL"
21211,"NULL"
15440,"NULL"
8486,"NULL"
5377,"NULL"
2847,"NULL"
42848,"NULL"
12684,"NULL"
9008,"LU01"
5577,"NULL"
2602,"NULL"
21502,"NULL"
43375,"NULL"
9045,"NULL"
44042,"NULL"
24875,"NULL"
25459,"NULL"
25525,"NULL"
25596,"NULL"
28685,"NULL"
28878,"NULL"
29396,"NULL"
34233,"NULL"
35470,"NULL"
38930,"NULL"
39309,"NULL"
39556,"NULL"
42755,"NULL"
47869,"NULL"
48635,"NULL"
49544,"NULL"
49981,"NULL"
21221,"NULL"
21155,"NULL"
20857,"NULL"
20847,"NULL"
20507,"NL04"
20495,"NULL"
16265,"NULL"
16243,"NULL"
16237,"NULL"
16131,"NULL"
15879,"NULL"
15703,"NULL"
15542,"NULL"
13126,"NULL"
12871,"NULL"
12859,"NULL"
12634,"NULL"
12573,"NULL"
12414,"NULL"
9150,"NULL"
8426,"NULL"
8315,"NULL"
5615,"NL03"
4589,"NULL"
3265,"NL03"
1103,"NULL"
702,"NULL"
1101,"NULL"
34547,"NULL"
34772,"NULL"
41557,"MK04"
43612,"MK01"
49056,"NULL"
24731,"NULL"
25233,"NULL"
34397,"NULL"
8895,"NULL"
702,"NULL"
786,"NULL"
20312,"NULL"
11562,"NULL"
6871,"GB04"
8401,"NULL"
8468,"NULL"
12513,"GB05"
13037,"NULL"
15418,"NULL"
20500,"NULL"
20860,"NULL"
29129,"NULL"
29131,"NULL"
29550,"NULL"
29631,"NULL"
31290,"NULL"
39757,"NULL"
42003,"NULL"
42689,"NULL"
23655,"NULL"
24398,"NULL"
38305,"NULL"
38319,"NULL"
17492,"NULL"
17435,"NULL"
9889,"NULL"
9503,"NULL"
9433,"NULL"
9432,"NULL"
9431,"NULL"
4770,"NULL"
681,"NULL"
38473,"NULL"
38495,"NULL"
17705,"NULL"
224,"NULL"
29300,"NULL"
29492,"NULL"
29695,"NO08"
34087,"NULL"
35094,"NULL"
41572,"NULL"
49455,"NULL"
21318,"NULL"
16185,"NULL"
15765,"NULL"
12994,"NULL"
8542,"NULL"
5619,"NULL"
5381,"NULL"
3292,"NULL"
5400,"NULL"
16175,"NULL"
13069,"NULL"
27672,"MX04"
28615,"NULL"
19332,"NULL"
16960,"NULL"
13591,"NULL"
11172,"NULL"
8151,"MX05"
6332,"NULL"
594,"NULL"
3549,"NULL"
24750,"NULL"
24964,"NULL"
25206,"NULL"
25374,"NULL"
28898,"NULL"
29030,"NULL"
29084,"NULL"
29448,"NULL"
29556,"NULL"
29580,"BG03"
29582,"NULL"
29667,"NULL"
31250,"NULL"
31291,"NULL"
34224,"NULL"
34295,"NULL"
34361,"NULL"
34524,"NULL"
34569,"NULL"
34754,"NULL"
35141,"BG03"
35249,"NULL"
39184,"NULL"
39246,"NULL"
41313,"NULL"
42081,"NULL"
42248,"NULL"
42410,"NULL"
42411,"NULL"
42431,"NULL"
42555,"NULL"
43205,"BG06"
43548,"NULL"
43561,"NULL"
47982,"NULL"
48264,"NULL"
48917,"NULL"
51582,"NULL"
21415,"NULL"
20911,"NULL"
20876,"NULL"
12829,"NULL"
12615,"NULL"
9127,"NULL"
9070,"NULL"
9028,"NULL"
8877,"NULL"
8717,"BG03"
8672,"BG03"
6802,"NULL"
3245,"NULL"
28909,"NULL"
41019,"NULL"
239,"NULL"
25636,"NULL"
25668,"NULL"
30407,"NULL"
32233,"NULL"
32277,"NULL"
32491,"NULL"
32613,"NULL"
32881,"NULL"
32984,"NULL"
33139,"NULL"
74,"NULL"
35843,"NULL"
36493,"NULL"
40028,"NULL"
40029,"NULL"
40224,"NULL"
40473,"NULL"
47027,"NULL"
271,"NULL"
23184,"NULL"
23136,"NULL"
22995,"CA11"
22799,"NULL"
21949,"NULL"
21804,"NULL"
20375,"NULL"
20218,"NULL"
20161,"NULL"
19875,"NULL"
19515,"NULL"
19397,"NULL"
18988,"NULL"
15318,"NULL"
15031,"NULL"
15003,"NULL"
14472,"NULL"
14280,"NULL"
14112,"NULL"
13773,"NULL"
13768,"NULL"
13319,"NULL"
12021,"NULL"
11814,"NULL"
11666,"NULL"
11486,"NULL"
11342,"NULL"
11260,"CA10"
11032,"NULL"
10996,"NULL"
10929,"NULL"
8346,"NULL"
8111,"NULL"
7794,"NULL"
7456,"NULL"
7403,"NULL"
7057,"NULL"
6453,"NULL"
6407,"NULL"
6280,"NULL"
5690,"NULL"
5645,"NULL"
3633,"NULL"
3356,"NULL"
2669,"NULL"
819,"NULL"
808,"NULL"
701,"NULL"
611,"NULL"
376,"NULL"
2028,"NULL"
7099,"NULL"
8153,"NULL"
21677,"NULL"
26198,"NULL"
9803,"NULL"
4538,"NULL"
17962,"NULL"
64856,"NULL"
64854,"NULL"
9812,"NULL"
64851,"NULL"
64812,"NULL"
64811,"NULL"
27695,"NULL"
10299,"NULL"
8163,"NULL"
52228,"NULL"
2108,"NULL"
35549,"NULL"
35432,"CY03"
43356,"NULL"
44558,"NULL"
47883,"NULL"
49840,"NULL"
23148,"NULL"
9121,"NULL"
3268,"NULL"
2852,"NULL"
5407,"NULL"
6706,"CZ03"
9080,"NULL"
12570,"NULL"
15425,"NULL"
15685,"NULL"
15935,"NULL"
16019,"NULL"
16246,"NULL"
24806,"NULL"
24971,"NULL"
25248,"NULL"
25424,"NULL"
25512,"NULL"
28851,"NULL"
29321,"NULL"
30764,"NULL"
