op,name,size,GNI_pc_2017
NO08,Altibox (inc. Lyse Tele),1030144,75990
NZ01,Spark (formerly Telecom New Zealand),1291008,38970
NZ03,Vodafone New Zealand (incl TelstraClear),335872,38970
NZ05,CallPlus (inc. Slingshot),408064,38970
NZ06,Orcon,0,38970
PE01,"Movistar Peru (formerly Telefonica del Peru, TDP)",1545984,5970
PE02,Claro Peru,648192,5970
PE03,Americatel Peru,135936,5970
PE04,Olo Peru,0,5970
PH01,Bayan Telecommunications,365824,3660
PH04,Eastern Communications (formerly ETPI),247296,3660
PH05,Globe Telecom (Philippines),558336,3660
PH06,Wi-Tribe Telecoms (Liberty Telecoms Holdings),0,3660
PH07,PLDT (incl. Smart Communications and Sun Cellular),2747904,3660
PK01,Pakistan Telecommunication Company Limited (PTCL),3882240,1580
PK02,Wateen Telecom,295168,1580
PK03,Wi-Tribe (Pakistan),167680,1580
PK04,Worldcall Telecom,123904,1580
PK05,LINKdotNET Pakistan,0,1580
PK06,Qubee (Augere),51457,1580
PL01,Multimedia Polska,607488,12710
PL02,Netia,1910528,12710
PL06,UPC Poland,11363072,12710
PL08,Vectra,527872,12710
PL09,"Orange Polska (incl Telekomunikacja Polska, Centertel)",5515264,12710
PT01,Cabovisao,212992,19820
PT02,MEO (formerly Portugal Telecom Comunicacoes [PTC]),1929728,19820
PT04,Nos (formerly Zon Optimus/Zon Multimedia),2035712,19820
PT05,Vodafone Portugal,1208064,19820
RO02,iNes Telecom,62208,9970
RO03,NextGen Communications (Romania),291840,9970
RO04,Romania Cable Systems (RCS&RDS),2156288,9970
RO05,Telekom Romania Communications (formerly RomTelecom),1522432,9970
RO06,UPC Romania,11363072,9970
RO07,Orange Romania,0,9970
RO08,Vodafone Romania,0,9970
RS01,Orion Telekom,144384,5180
RS02,Telekom Srbija,720896,5180
RS03,VeratNet,102144,5180
RS04,Serbia Broadband (SBB),516352,5180
RU02,AKADO Telecom,217344,9230
RU05,Vimpelcom (Beeline Russia),3298144,9230
RU11,ER-Telecom,1054720,9230
RU20,Enforta (Prestige Internet),397312,9230
RU21,Mobile TeleSystems (MTS),1601281,9230
RU22,Rostelecom,12484864,9230
RU23,TransTeleCom (TTK),773888,9230
SA02,Etihad Atheeb (GO Telecom),196608,20080
SA03,Integrated Telecom Company (ITC),154624,20080
SA04,Saudi Telecom Company (STC),2951680,20080
SE01,Com Hem (including UPC Sweden),12220160,52590
SE02,Tele2 Sweden,0,52590
SE03,Telenor Sweden (incl. Glocalnet and Bredbandsbolaget),7037712,52590
SE04,TeliaSonera Sweden,7651072,52590
SI01,Amis (formerly Medinet),115712,22000
SI02,T-2,193536,22000
SI03,Telekom Slovenije (incl. Mobitel),794368,22000
SI04,Tus Telekom (formerly Voljatel),0,22000
SI05,Telemach (Slovenia),301568,22000
SK01,Orange Slovensko,0,16610
SK02,Slovak Telekom,661248,16610
SK03,UPC Slovakia,11363072,16610
TH01,TOT,1286144,5960
TH02,True Corp,3021824,5960
TH03,Triple T Broadband,958208,5960
TH04,CAT Telecom,480768,5960
TR01,Turk Telekom,7067648,10930
TR02,Turksat (Uydunet),415488,10930
TR03,Turkcell Superonline (formerly Tellcom),1379840,10930
TR04,D-Smart Net (Dogan TV Holding),410112,10930
TR05,Millenicom Turkey (inc. Doping),109824,10930
TR06,"Vodafone Net (incl. Borusan, Koc.net)",727040,10930
TW01,Chunghwa Telecom,12276992,49800
TW02,kbro (Eastern Multimedia Co),0,49800
TW03,Taiwan Broadband Communications (TBC),0,49800
TW05,Far EasTone (FET) (including NCIC),0,49800
UA02,Datagroup,130048,2390
UA04,Kyivstar,0,2390
UA05,Ukrtelecom (incl. TriMob),1818368,2390
UA06,Vega (formerly Farlep/Optima),311296,2390
UA07,Volia,792576,2390
UA08,Triolan,0,2390
US01,Bright House Networks,1075894528,58270
US02,Cablevision Systems (US),5978368,58270
US04,Charter Communications,11255296,58270
US05,Cincinnati Bell,703744,58270
US06,Clearwire,578304,58270
US07,Comcast,71972352,58270
US09,Cox Communications,12167168,58270
US12,Frontier Communications,13349376,58270
US14,Mediacom,1382144,58270
US15,Time Warner Cable (TWC),35155968,58270
US16,Verizon Communications,0,58270
US17,Windstream Communications,9203488,58270
US19,AT&T,114347520,58270
US20,CenturyLink,22670172,58270
US23,Suddenlink Communications,0,58270
VN01,FPT Telecom,1425408,2170
VN02,"Saigon Post and Telecommunications (SPT, Saigon Postel)",124928,2170
VN03,"Vietnam Posts and Telecommunications (VNPT, inc. VDC)",6902272,2170
VN04,Viettel Telecom,905216,2170
VN05,Saigon Tourist Cable Television (SCTV),196608,2170
VN06,CMC Telecom (CMC TI),0,2170
ZA01,iBurst (inc. Wireless Business Solutions),128000,5430
ZA02,Telkom South Africa (incl. Telkom Mobile [formerly 8ta]),1294080,5430
ZA03,Afrihost (incl. Axxess DSL),0,5430
ZA04,MWEB (South Africa),1498368,5430
ZA05,Vox Telecom,240128,5430
ZA06,Web Africa,139520,5430
ZA07,Neotel (South Africa),0,5430
